index,mos,im_loc
0,62.73682842,voc_emotic_ava/VOC2012__2008_000194.jpg
1,67.25149748,voc_emotic_ava/VOC2012__2010_003328.jpg
2,63.49114149,voc_emotic_ava/JPEGImages__2008_002262.jpg
3,74.29255305,voc_emotic_ava/JPEGImages__2011_000758.jpg
4,76.55694683,voc_emotic_ava/AVA__98187.jpg
5,72.42129157,voc_emotic_ava/JPEGImages__2011_001755.jpg
6,79.30423273,voc_emotic_ava/EMOTIC__COCO_train2014_000000187616.jpg
7,69.02297693,voc_emotic_ava/VOC2012__2008_003949.jpg
8,74.93502384,voc_emotic_ava/VOC2012__2011_005651.jpg
9,71.34008378,voc_emotic_ava/EMOTIC__COCO_train2014_000000306511.jpg
10,62.78552972,voc_emotic_ava/VOC2012__2011_000213.jpg
11,74.17022959,voc_emotic_ava/VOC2012__2008_006200.jpg
12,77.84165266,voc_emotic_ava/AVA__369866.jpg
13,77.07354745,voc_emotic_ava/EMOTIC__fzvmccnhhau1ov7qhd.jpg
14,68.6760033,voc_emotic_ava/JPEGImages__2010_002220.jpg
15,76.12191327,voc_emotic_ava/JPEGImages__2011_004537.jpg
16,68.42856201,voc_emotic_ava/AVA__316524.jpg
17,77.65417297,voc_emotic_ava/JPEGImages__2008_003713.jpg
18,71.53668766,voc_emotic_ava/EMOTIC__COCO_train2014_000000437778.jpg
19,66.09613068,voc_emotic_ava/EMOTIC__COCO_train2014_000000504400.jpg
20,74.31144986,voc_emotic_ava/JPEGImages__2012_002552.jpg
21,74.90009595,voc_emotic_ava/EMOTIC__COCO_train2014_000000437944.jpg
22,76.43476724,voc_emotic_ava/VOC2012__2008_002565.jpg
23,69.63266925,voc_emotic_ava/JPEGImages__2008_002401.jpg
24,68.84314648,voc_emotic_ava/VOC2012__2012_001755.jpg
25,72.00645979,voc_emotic_ava/EMOTIC__COCO_val2014_000000120356.jpg
26,67.23731485,voc_emotic_ava/AVA__244173.jpg
27,67.39959784,voc_emotic_ava/AVA__471075.jpg
28,72.38975585,voc_emotic_ava/EMOTIC__COCO_train2014_000000308079.jpg
29,73.32957761,voc_emotic_ava/VOC2012__2011_003318.jpg
30,71.03038637,voc_emotic_ava/JPEGImages__2009_001840.jpg
31,70.89130147,voc_emotic_ava/JPEGImages__2010_002537.jpg
32,74.49831264,voc_emotic_ava/JPEGImages__2011_004830.jpg
33,67.43291955,voc_emotic_ava/VOC2012__2008_005708.jpg
34,65.24987822,voc_emotic_ava/VOC2012__2008_006940.jpg
35,76.11531999,voc_emotic_ava/VOC2012__2012_004267.jpg
36,76.24625182,voc_emotic_ava/AVA__821988.jpg
37,75.65026236,voc_emotic_ava/VOC2012__2010_004346.jpg
38,65.95714907,blur_dataset/motion0139.jpg
39,87.82418695,voc_emotic_ava/EMOTIC__b10febl2au0pxp81k7.jpg
40,75.58771421,voc_emotic_ava/EMOTIC__COCO_train2014_000000374553.jpg
41,71.97091384,voc_emotic_ava/JPEGImages__2012_000619.jpg
42,67.90603032,voc_emotic_ava/JPEGImages__2010_001516.jpg
43,78.64816502,voc_emotic_ava/JPEGImages__2010_003779.jpg
44,76.57555268,voc_emotic_ava/EMOTIC__COCO_val2014_000000256505.jpg
45,55.42272086,voc_emotic_ava/EMOTIC__COCO_val2014_000000072839.jpg
46,69.92173441,voc_emotic_ava/JPEGImages__2011_006121.jpg
47,77.62516956,voc_emotic_ava/EMOTIC__COCO_train2014_000000188390.jpg
48,73.01022743,voc_emotic_ava/VOC2012__2012_003270.jpg
49,75.52194572,voc_emotic_ava/AVA__481465.jpg
50,72.9945821,voc_emotic_ava/EMOTIC__COCO_train2014_000000355064.jpg
51,72.17348197,voc_emotic_ava/EMOTIC__COCO_train2014_000000089992.jpg
52,76.52324786,voc_emotic_ava/EMOTIC__COCO_train2014_000000037286.jpg
53,63.34295072,voc_emotic_ava/JPEGImages__2012_001858.jpg
54,71.7508723,voc_emotic_ava/JPEGImages__2010_005885.jpg
55,74.44288284,voc_emotic_ava/EMOTIC__COCO_train2014_000000364380.jpg
56,71.59235913,voc_emotic_ava/EMOTIC__COCO_val2014_000000574138.jpg
57,74.42816833,voc_emotic_ava/VOC2012__2012_003713.jpg
58,79.31974578,voc_emotic_ava/JPEGImages__2010_005496.jpg
59,74.11607504,voc_emotic_ava/VOC2012__2008_006261.jpg
60,72.93488434,voc_emotic_ava/VOC2012__2011_005304.jpg
61,79.80721196,voc_emotic_ava/AVA__222016.jpg
62,70.78343013,voc_emotic_ava/AVA__73350.jpg
63,63.90030389,voc_emotic_ava/EMOTIC__COCO_train2014_000000120207.jpg
64,69.03192752,voc_emotic_ava/VOC2012__2008_006379.jpg
65,73.84143512,voc_emotic_ava/VOC2012__2010_001395.jpg
66,68.67164129,voc_emotic_ava/JPEGImages__2012_001052.jpg
67,38.69960093,voc_emotic_ava/AVA__126629.jpg
68,74.34758208,voc_emotic_ava/EMOTIC__COCO_train2014_000000125908.jpg
69,75.98361036,voc_emotic_ava/JPEGImages__2010_006201.jpg
70,70.82918235,voc_emotic_ava/EMOTIC__COCO_train2014_000000546686.jpg
71,76.49809942,voc_emotic_ava/JPEGImages__2010_003532.jpg
72,71.38353874,voc_emotic_ava/EMOTIC__COCO_val2014_000000547258.jpg
73,76.52977351,voc_emotic_ava/VOC2012__2008_001409.jpg
74,79.87431125,voc_emotic_ava/VOC2012__2009_001655.jpg
75,54.51719857,voc_emotic_ava/AVA__7533.jpg
76,72.26441258,voc_emotic_ava/AVA__10823.jpg
